entryDate,exitDate,side,entry,exit,net,returnPct,days,reason,mfePct
"2024-02-08","2024-04-14",1,44349.6,63924.52,4389.362221981709,43.89362221981709,66,"EMA52-300 cross",66.35324783087108
"2024-05-22","2024-06-15",1,70148.34,66043.99,-604.5107168608681,-6.0451071686086815,24,"EMA52-300 cross",2.6353866677386817
"2024-07-24","2024-08-03",1,65936,61498.34,-692.352332564912,-6.9235233256491195,10,"EMA52-300 cross",6.28486714389711
"2024-09-23","2024-10-02",1,63578.76,60804.92,-455.8477831275734,-4.558477831275734,9,"EMA52-300 cross",4.591533398889824
"2024-12-25","2025-01-10",1,98663.58,92552.49,-638.7672198799189,-6.38767219879919,16,"EMA52-300 cross",4.115804433611681
"2025-02-04","2025-02-05",1,101328.51,97763.14,-371.5106094030195,-3.7151060940301948,1,"EMA52-300 cross",0.39850581045748346
"2025-06-01","2025-06-22",1,104591.88,102120.02,-256.0975001118634,-2.5609750011186336,21,"EMA52-300 cross",5.6775822367854945
"2025-07-03","2025-08-20",1,108849.59,112872.95,349.2560201650737,3.492560201650737,48,"EMA52-300 cross",14.354128481329154
"2025-09-19","2025-09-23",1,117073.53,112650.99,-397.37970829101965,-3.9737970829101963,4,"EMA52-300 cross",0.33010023700490443
"2026-04-12","2026-05-23",1,73043.16,75539.5,321.42056011815424,3.2142056011815425,41,"EMA52-300 cross",13.426089451770707
