entryDate,exitDate,side,entry,exit,net,returnPct,days,reason,mfePct
"2024-01-02","2024-01-19",1,44179.55,41327.51,-664.911041420748,-6.64911041420748,17,"EMA52-300 cross",10.841961948458056
"2024-03-21","2024-04-14",1,67840.51,63924.52,-596.6575177574576,-5.966575177574576,24,"EMA52-300 cross",7.307551196180584
"2024-04-23","2024-04-27",1,66819.32,63770,-475.896689759789,-4.75896689759789,4,"EMA52-300 cross",0.5442886877627506
"2024-05-15","2024-05-16",-1,61577.49,66206.51,-772.4907267249764,-7.7249072672497645,1,"EMA52 cross",0.4190167543366874
"2024-08-02","2024-08-03",1,65354.02,61498.34,-609.378330514328,-6.09378330514328,1,"EMA52-300 cross",0.370474532400622
"2024-09-17","2024-09-18",-1,58213.99,60313.99,-381.09876680845963,-3.8109876680845964,1,"EMA52 cross",1.0375169267730966
"2024-10-07","2024-10-10",1,62819.91,60636.01,-367.2969158981606,-3.672969158981606,3,"EMA52-300 cross",2.639736351102706
"2024-10-12","2025-01-10",1,62539.99,92552.49,4774.130523525829,47.74130523525829,90,"EMA52-300 cross",73.25394519570598
"2025-01-15","2025-02-03",1,96560.85,97700.59,97.91531039753592,0.9791531039753592,19,"EMA52-300 cross",13.491130204425495
"2025-03-21","2025-04-22",-1,84223.38,87516.22,-411.35603914257496,-4.113560391425749,32,"EMA52 cross",11.535253037814442
"2025-06-02","2025-06-22",1,105642.93,102120.02,-353.1398599035439,-3.531398599035439,20,"EMA52-300 cross",4.62618747889707
"2025-06-24","2025-08-20",1,105333.94,112872.95,695.0089505813601,6.9500895058136,57,"EMA52-300 cross",18.170838383146016
"2025-08-23","2025-08-25",1,116936,113493.59,-314.08972343846233,-3.140897234384623,2,"EMA52-300 cross",0.0803858520900258
"2025-09-30","2025-10-11",1,114311.97,112774.49,-154.36410202711016,-1.5436410202711015,11,"EMA52-300 cross",10.399313387740584
"2025-12-05","2026-01-06",-1,92078.06,93859.71,-213.68692715724123,-2.1368692715724125,32,"EMA52 cross",8.284329622061982
"2026-03-04","2026-03-17",-1,68338.01,74884.67,-978.9402237495655,-9.789402237495654,13,"EMA52 cross",3.9795130118655653
"2026-03-20","2026-04-08",-1,69930.01,71924.22,-305.45744666703274,-3.0545744666703274,19,"EMA52 cross",7.049920341781723
"2026-07-09","2026-07-21",-1,62290.01,65255.51,-496.55563067015083,-4.965556306701508,12,"EMA52 cross",0.9387059016365606
"2026-07-26","2026-07-28",1,64375.01,63755.86,-116.08244721049385,-1.1608244721049386,2,"EMA52-300 cross",2.1275181161136913
"2026-07-31","2026-08-01",1,64780.03,62887.88,-311.79638385471594,-3.1179638385471593,1,"EMA52-300 cross",0.9717964008352453
"2026-08-05","2026-08-07",1,64106.55,64323.61,13.8253953769151,0.138253953769151,2,"EMA52-300 cross",1.4330360938156872
