entryDate,exitDate,side,entry,exit,net,returnPct,days,reason,mfePct
"2024-03-21","2024-04-14",1,67840.51,63924.52,-596.6575177574576,-5.966575177574576,24,"EMA52 level",7.307551196180584
"2024-04-23","2024-04-25",1,66819.32,64289.58,-398.21550114547784,-3.9821550114547786,2,"EMA52 level",0.5442886877627506
"2024-08-02","2024-08-03",1,65354.02,61498.34,-609.378330514328,-6.09378330514328,1,"EMA52 level",0.370474532400622
"2024-10-05","2024-10-10",1,62086,60636.01,-253.3118593563763,-2.533118593563763,5,"EMA52 level",3.8530264471861697
"2024-10-12","2024-12-31",1,62539.99,92792.05,4812.397309305616,48.12397309305616,80,"EMA52 level",73.25394519570598
"2025-01-03","2025-01-10",1,96984.79,92552.49,-476.55279554659944,-4.765527955465995,7,"EMA52 level",5.918031064458673
"2025-01-15","2025-02-03",1,96560.85,97700.59,97.91531039753592,0.9791531039753592,19,"EMA52 level",13.491130204425495
"2025-02-04","2025-02-05",1,101328.51,97763.14,-371.5106094030195,-3.7151060940301948,1,"EMA52 level",0.39850581045748346
"2025-06-01","2025-06-22",1,104591.88,102120.02,-256.0975001118634,-2.5609750011186336,21,"EMA52 level",5.6775822367854945
"2025-06-24","2025-08-03",1,105333.94,112546.35,664.0338061976989,6.64033806197699,40,"EMA52 level",16.97844018746475
"2025-08-08","2025-08-20",1,117472.02,112872.95,-411.11193712341094,-4.11111937123411,12,"EMA52 level",5.960551287021376
"2025-08-23","2025-08-25",1,116936,113493.59,-314.08972343846233,-3.140897234384623,2,"EMA52 level",0.0803858520900258
"2025-09-30","2025-10-11",1,114311.97,112774.49,-154.36410202711016,-1.5436410202711015,11,"EMA52 level",10.399313387740584
"2026-03-24","2026-03-25",1,70906.45,70556.74,-69.27059385993684,-0.6927059385993685,1,"EMA52 level",0.6960579749797136
"2026-07-26","2026-07-28",1,64375.01,63755.86,-116.08244721049385,-1.1608244721049386,2,"EMA52 level",2.1275181161136913
"2026-07-31","2026-08-01",1,64780.03,62887.88,-311.79638385471594,-3.1179638385471593,1,"EMA52 level",0.9717964008352453
"2026-08-05","2026-08-06",1,64106.55,64665.24,67.06307077825822,0.6706307077825822,1,"EMA52 level",1.4330360938156872
