entryDate,exitDate,side,entry,exit,net,returnPct,days,reason,mfePct
"2024-03-21","2024-06-25",1,67840.51,60293.3,-1131.380617569059,-11.31380617569059,96,"EMA52-2ATR level",7.307551196180584
"2024-08-02","2024-08-05",1,65354.02,58161,-1119.5233315410433,-11.195233315410432,3,"EMA52-2ATR level",0.370474532400622
"2024-09-17","2024-09-18",-1,58213.99,60313.99,-381.09876680845963,-3.8109876680845964,1,"EMA52 cross",1.0375169267730966
"2024-10-05","2025-02-26",1,62086,88680.39,4259.192669845053,42.591926698450536,144,"EMA52-2ATR level",76.5100022549367
"2025-03-21","2025-04-22",-1,84223.38,87516.22,-411.35603914257496,-4.113560391425749,32,"EMA52 cross",11.535253037814442
"2025-06-01","2025-11-05",1,104591.88,101497.23,-315.5827307052907,-3.1558273070529075,157,"EMA52-2ATR level",20.65910852735413
"2025-12-05","2026-01-06",-1,92078.06,93859.71,-213.68692715724123,-2.1368692715724125,32,"EMA52 cross",8.284329622061982
"2026-03-07","2026-03-17",-1,68114.02,74884.67,-1015.0111078453442,-10.150111078453442,10,"EMA52 cross",3.663753805751002
"2026-03-20","2026-04-08",-1,69930.01,71924.22,-305.45744666703274,-3.0545744666703274,19,"EMA52 cross",7.049920341781723
"2026-07-09","2026-07-21",-1,62290.01,65255.51,-496.55563067015083,-4.965556306701508,12,"EMA52 cross",0.9387059016365606
