entryDate,exitDate,side,entry,exit,net,returnPct,days,reason,mfePct
"2024-01-02","2024-01-15",1,44179.55,41732.35,-573.3675195876834,-5.733675195876834,13,"ATR trail close",10.841961948458056
"2024-02-09","2024-03-20",1,45288.66,61937.41,3652.464862064808,36.52464862064808,40,"ATR trail close",62.90391457817475
"2024-03-21","2024-04-14",1,67840.51,63924.52,-596.6575177574576,-5.966575177574576,24,"EMA52-300 level",7.307551196180584
"2024-05-21","2024-06-15",1,71446.62,66043.99,-775.4209520338388,-7.754209520338389,25,"ATR trail close",0.7703653440848779
"2024-07-26","2024-08-03",1,65799.95,61498.34,-673.0868777255911,-6.73086877725591,8,"ATR trail close",6.504625003514453
"2024-09-24","2024-10-02",1,63339.99,60804.92,-419.8319118774726,-4.198319118774726,8,"EMA52-300 level",4.985807544333376
"2024-10-05","2024-10-10",1,62086,60636.01,-253.3118593563763,-2.533118593563763,5,"EMA52-300 level",3.8530264471861697
"2024-10-12","2024-12-23",1,62539.99,95186.28,5194.846326326564,51.948463263265644,72,"ATR trail close",73.25394519570598
"2024-12-25","2025-01-10",1,98663.58,92552.49,-638.7672198799189,-6.38767219879919,16,"EMA52-300 level",4.115804433611681
"2025-01-18","2025-02-03",1,104077.47,97700.59,-632.092426920063,-6.3209242692006296,16,"EMA52-300 level",5.294642538870331
"2025-02-04","2025-02-05",1,101328.51,97763.14,-371.5106094030195,-3.7151060940301948,1,"EMA52-300 level",0.39850581045748346
"2025-04-26","2025-06-06",1,94638.68,101508.69,705.193968259068,7.05193968259068,41,"ATR trail close",18.3237128835694
"2025-06-08","2025-06-22",1,105552.15,102120.02,-344.83448892324697,-3.4483448892324695,14,"ATR trail close",4.716171105941469
"2025-06-24","2025-08-02",1,105333.94,113297.92,735.3136263582276,7.353136263582276,39,"ATR trail close",16.97844018746475
"2025-08-08","2025-08-20",1,117472.02,112872.95,-411.11193712341094,-4.11111937123411,12,"ATR trail close",5.960551287021376
"2025-08-23","2025-08-25",1,116936,113493.59,-314.08972343846233,-3.140897234384623,2,"EMA52-300 level",0.0803858520900258
"2025-09-18","2025-09-23",1,116447.6,112650.99,-345.709880667356,-3.45709880667356,5,"EMA52-300 level",1.247256276642883
"2025-10-04","2025-10-11",1,122232.21,112774.49,-792.9764748587954,-7.929764748587955,7,"ATR trail close",3.24580566775321
"2026-04-18","2026-05-23",1,77072.01,75539.5,-218.64247604285848,-2.1864247604285847,35,"ATR trail close",7.496872081057715
